Key,Translation,Version,Comment
<Gamepad>,Ovladač,,Used in input settings when showing bindings for Gamepad (controller) 
<Keyboard>,Klavesnice,,Used in input settings when showing bindings for Keyboard 
<Mouse>,Myš,,Used in input settings when showing bindings for Mouse
abort,Zrušit,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,Expedice zrušena. Člen posádky {0} zemřel předtím než nastoupil do rakety.,,{0} will be replaced with a name
aborting.expedition.target.too.far,Expedice zrušena. Jsme moc daleko k našemu cíli {0},,{0} will be replaced with a destination name (i.e. planet name)
about,O nás,,"""About"" menu item name"
about.mods,O modifikacích,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,Jak získat peníze,,
about.wallet.desc,"Pokud nainstalujete rozšíření do vašeho lodního počítače nebo jiných kompatibilních zařízení,tak můžete těžit měny.Peníze můžete získat i výměnou zboží.",2022-03-19,
accumulated.heat,Nahromaděné teplo,,A device can start overheating. This is a label for a value of the heat amount the device has accumulated.
achievement.AsimovOverride,Zběhnutá AI,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,Instalovat Asimovův přemosťující Modul,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,Prolomeno,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,Být naloděn nájezdníky s prolomující kapsulí,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Šílená jízda,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,Kočka se svezla na čistícím robotu,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,Vím kdo Jsem,,
achievement.CloneHuman.desc,Naklonuj člověka,,
achievement.Colonize,Konec,,
achievement.Colonize.desc,Osídli lidmi obyvatelnou planetu,,
achievement.CPUDestroyed,Já se vrátím,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,Zničit lodní počítač,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,Obětí pro všechny,,
achievement.CrawlerAttach.desc,Mít člověka s přisátým plíživcem,,
achievement.CrawlerUber,Plíživčí Taxi,,
achievement.CrawlerUber.desc,Naber Plíživce cestou zpět z těžařské expedice,,
achievement.Crypto,Kryptoparťák,,
achievement.Crypto.desc,Nainstaluj vylepšení pro těžbu Starcreds do lodního počítače,,
achievement.date,Dosaženo dne: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,Tohle tu předtím nebylo,,
achievement.DiscoverEgg.desc,Objev vejce na své lodi,,
achievement.DiscoverTerraformable,Objeveno,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,Objevte terrafomovatelnou planetu,,
achievement.Elysium,Ráj,,
achievement.Elysium.desc,Přepne Stázové pole pro vchod do ráje.,,
achievement.FirstContact,První kontakt,,
achievement.FirstContact.desc,Potkej se s jinou frakcí,,
achievement.FirstCup,Ranní šálek,,
achievement.FirstCup.desc,Někdo si dal kafe,,
achievement.HatchCrawlers,Trošku jiný druh zrození,,
achievement.HatchCrawlers.desc,Povolit Plíživci zrodit se uvnitř kolonisty,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"Získej 100,000 Starcreds",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"Získej 1,000,000 Starcreds",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Získej 10,000,000 Starcreds",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Získej 100,000,000 Starcreds",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"Získej 1,000,000,000 Starcreds",,
achievement.OnePiece,V celku,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,Spoj části rozpadlé lodi zpět dohromady,,
achievement.StasisDestroyed,Bez naděje,,
achievement.StasisDestroyed.desc,Zničit Stázové Pole,,
achievement.StockMarketLoss,Jeden z nás,,
achievement.StockMarketLoss.desc,Prodej akcie s $100K ztrátou na Akciovém Trhu,,
achievement.TerraformAtmosphere,Terraformuj Atmosféru,,
achievement.TerraformAtmosphere.desc,Vytvoř Atmosféru na planetě,,
achievement.TerraformBiosphere,Terraformuj Biosféru,,
achievement.TerraformBiosphere.desc,Vytvoř Biosféru na planetě,,
achievement.TerraformOceans,Teraformuj Oceány,,
achievement.TerraformOceans.desc,Vytvoř Oceány a Řeky na planetě,,
achievement.TerraformTerrain,Terraformuj terén,,
achievement.TerraformTerrain.desc,Vytvoř terén a kontinenty na planetě,,
achievement.unlocked,Odemčený úspěch: {0},,
achievement.VoidRipper,Rozparovač Nicoty,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,Projít černou dírou,,
achievement.WeaponizedCleaningBot,Terminátor,,
achievement.WeaponizedCleaningBot.desc,Vyzbrojte úklidového bota,,
achievement.Winch,Naviják,,
achievement.Winch.desc,Navijákem spojte dvě části lodi,,
achievements,Úspěchy,,
achievements.disabled,Vypnuté úspěchy,,
achievements.stat,Úspěchy [{0}/{1}],,
act.AnimalEat,Stravuje se,,
act.BotDock,Dokování,,
act.BreakdownDeconstruct,Ničí věci,,
act.BreakdownInsanity,Blázní,,
act.BreakdownRoamAround,Toulá se po okolí,,
act.BreakdownSpaceDiarrhea,Trpí vesmírným průjmem,,
act.BringResourcesAndConstruct,Staví,,
act.CatchTarget,Nahání někoho,,
act.Clean,Uklízí,,
act.CleanDevice,Čistí zařízení,,
act.CleanFloors,Myje podlahu,,
act.CleanSolarPanel,Čistí solární panel,,
act.Construct,Konstruuje,,
