Key,Value,Version,Comment
<Gamepad>,Gamepad,,"Used in input settings when showing bindings for Gamepad (controller)"
<Keyboard>,Tastatur,,"Used in input settings when showing bindings for Keyboard"
<Mouse>,Maus,,"Used in input settings when showing bindings for Mouse"
abort,Abbrechen,,"Text on a button that would abort some ongoing operation. It is different from »cancel« since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,"Expedition abgebrochen. Besatzungsmitglied {0} starb vor dem Betreten des Schiffs.",,"{0} will be replaced with a name"
aborting.expedition.target.too.far,"Expedition abgebrochen. Wir sind zu weit von unserem Ziel {0} entfernt.",,"{0} will be replaced with a destination name (i.e. planet name)"
about,Über,,"»About« menu item name"
about.mods,"Über Mods",,"»Mods« in this context is game modifications, or expansions."
about.wallet,"Wie man Geld erhält",,
about.wallet.desc,"Währungen können nach der Installation von Berechnungsverbesserungen auf deinem Schiffscomputer oder kompatiblen Berechnungsgeräten geschürft werden. Du kannst auch Geld durch den Handel mit Waren erhalten.",2022-03-19,
achievement.AsimovOverride,"Abtrünnige KI",,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,"Implantiere einen Asimovüberbrückungschip in einen Menschen.",,"Asimov is Isaac Asimov, a famous sci-fi writer who created the »three laws of robotics«"
achievement.Breached,Geentert,,"This is past tense of verb »to breach«, meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,"Werde von Räubern geentert.",,"»boarded« as in »the act of passengers and crew getting aboard a ship or aircraft«. Raiders are a pirates, »Breach Capsule« is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Vergnügungsfahrt,,"»joy ride« is an English idiom for »a fast and dangerous ride in a stolen vehicle.«"
achievement.CatRidingCleaningBot.desc,"Lass eine Katze einen Putzroboter fahren.",,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,"Ich weiß, wer ich bin.",,
achievement.CloneHuman.desc,"Klone einen Menschen.",,
achievement.Colonize,"Das Ende",,
achievement.Colonize.desc,"Gründe eine Menschenkolonie auf einem bewohnbaren Planeten.",,
achievement.CPUDestroyed,"Ich komme wieder.",,"this is a reference to »The Terminator« movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,"Verliere deinen Schiffscomputer.",,"»lose« here means getting your ship computer destroyed"
achievement.CrawlerAttach,Gratisumarmung,,
achievement.CrawlerAttach.desc,"Erreiche, dass ein Krabbler sich an einen Menschen heftet.",,
achievement.CrawlerUber,Krabblertaxi,,
achievement.CrawlerUber.desc,"Sammle einen Krabbler auf dem Rückweg von einer Bergbaumission auf.",,
achievement.Crypto,Crypto-Bro,,
achievement.Crypto.desc,"Installiere die Starcredsschürfverbesserung in deinem Schiffscomputer.",,
achievement.date,"Errungenschaft am {0} erhalten",,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,"Das war hier aber eben noch nicht.",,
achievement.DiscoverEgg.desc,"Finde ein Ei auf deinem Schiff.",,
achievement.DiscoverTerraformable,Endlich!,,"this refers to finally discovering a terraformable planet after a long search"
achievement.DiscoverTerraformable.desc,"Finde einen Planeten, der sich fürs Terraformieren eignet.",,
achievement.Elysium,Elysium,,
achievement.Elysium.desc,"Erschaffe das Elysium in deiner Stasiskammer.",,
achievement.FirstContact,"Erster Kontakt",,
achievement.FirstContact.desc,"Triff eine andere Fraktion.",,
achievement.FirstCup,"Ein Schluck Kaffee am Morgen",,
achievement.FirstCup.desc,"Lass jemanden das erste Mal Kaffee trinken.",,
achievement.HatchCrawlers,"Nicht diese Art von Geburt",,
achievement.HatchCrawlers.desc,"Erlaube Krabblern, in einem Kolonisten zu schlüpfen.",,
achievement.Money5,"1 × 10^5 $",,
achievement.Money5.desc,"Verdiene 100.000 Starcreds.",,
achievement.Money6,"1 × 10^6 $",,
achievement.Money6.desc,"Verdiene 1.000.000 Starcreds.",,
achievement.Money7,"1 × 10^7 $",,
achievement.Money7.desc,"Verdiene 10.000.000 Starcreds.",,
achievement.Money8,"1 × 10^8 $",,
achievement.Money8.desc,"Verdiene 100.000.000 Starcreds.",,
achievement.Money9,"1 × 10^9 $",,
achievement.Money9.desc,"Verdiene 1.000.000.000 Starcreds.",,
achievement.OnePiece,"In einem Stück",,"short for »all in one piece« idiom, which means »Uninjured or unharmed; fully intact.«. Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,"Verbinde die getrennten Schiffsteile wieder zu einem Stück.",,
achievement.StasisDestroyed,"Keine Hoffnung mehr.",,
achievement.StasisDestroyed.desc,"Verliere deine Stasiskammer.",,
achievement.StockMarketLoss,"Einer von uns.",,
achievement.StockMarketLoss.desc,"Verkaufe eine Aktie mit einem Verlust von über 100.000 $ auf dem Aktienmarkt.",,
achievement.TerraformAtmosphere,"Terraformiere eine Atmosphäre",,
achievement.TerraformAtmosphere.desc,"Erschaffe eine Atmosphäre auf einem Planeten.",,
achievement.TerraformBiosphere,"Terraformiere eine Biosphäre",,
achievement.TerraformBiosphere.desc,"Erschaffe eine Biosphäre auf einem Planeten.",,
achievement.TerraformOceans,"Terraformiere einen Ozean",,
