Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
<Gamepad>,ゲームパッド,,Used in input settings when showing bindings for Gamepad (controller)
<Keyboard>,キーボード,,
<Mouse>,マウス,,
abort,中止,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,探査中止。クルーの {0} はシャトルに搭乗する前に死亡しました。,,{0} will be replaced with a name
aborting.expedition.target.too.far,探査中止。目標の {0} から離れすぎています。,,{0} will be replaced with a destination name (i.e. planet name)
about,About,,"""About"" menu item name"
about.mods,Modについて,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,資金を手に入れるには,,
about.wallet.desc,マイニングアップグレードを船のコンピュータや対応するシステムにインストールすることで通貨をマイニングすることができます。また、商品を取引することでもお金を手に入れることができます。,2022-03-19,
achievement.AsimovOverride,荒ぶるAI,,
achievement.AsimovOverride.desc,アシモフ オーバーライドをインストールする,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,突破された,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,突入カプセルで襲撃されて船に乗り込まれる,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,たのしいのりもの,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,お掃除ロボットにネコを乗せる,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,我思うゆえに我あり,,
achievement.CloneHuman.desc,クローン人間を作る,,
achievement.Colonize,おしまい,,
achievement.Colonize.desc,居住可能な惑星に人々を定住させる,,
achievement.CPUDestroyed,アイル・ビー・バック,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,船のコンピュータをすべて喪失する,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,フリーハグ,,
achievement.CrawlerAttach.desc,クロウラーを人間の入植者に取りつかせる,,
achievement.CrawlerUber,クロウラータクシー,,
achievement.CrawlerUber.desc,惑星での採掘からクロウラーを持ち帰る,,
achievement.Crypto,暗号資産な奴ら,,
achievement.Crypto.desc,船のコンピュータにマイニングアップグレードをインストールする,,
achievement.date,実績を達成: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,こんなものあったっけ？,,
achievement.DiscoverEgg.desc,船内でタマゴを発見する,,
achievement.DiscoverTerraformable,見つけたぞ！,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,居住可能な惑星を発見する,,
achievement.Elysium,楽園,,
achievement.Elysium.desc,コールドスリープをエリュシオンに変換,,
achievement.FirstContact,ファーストコンタクト,,
achievement.FirstContact.desc,他の勢力に遭遇する,,
achievement.FirstCup,朝の一杯,,
achievement.FirstCup.desc,誰かがコーヒーを飲む,,
achievement.HatchCrawlers,出産なんてもんじゃない,,
