Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
randomize.starting.sector,ランダム,,label for button that select a random starting sector in the starmap
randomize.starting.sector.tip,ランダムなセクターで開始,,
space.object.Sector,セクター,,
space.object.Region,宙域,,
noun.map.view,マップ表示,,label for buttons that can switch the map view mode
noun.hyperjump,ハイパージャンプ,,label for hyperjump details
exit.hyperspace,ハイパースペース離脱,,
noun.hyperspace,ハイパースペース,,
enter.hyperspace,ハイパースペースに入る,,
verb.hyperjump,ハイパージャンプ,,action verb on a button that executes a hyperjump
unable.to.hyperjump,ハイパージャンプ不可,,
hyperjump.tip.expedition,進行中の<b>シャトルの探査</b>から帰還するのをお待ちください。,,
hyperjump.tip.copter,<b>輸送機</b>が作業を完了するまでお待ちください。,,
noun.custom.location,任意の座標,,
noun.current.destination,現在の移動目標,,
enter.region,宙域に進入,,
enter.sector,セクターに進入,,
obj.materials.phasium,フェージウム,,
obj.materials.phasium.desc,"紫色の光を放っている希少なサーメットクリスタルだ。物理的な強靭さとエーテル的なエネルギーをあわせ持っている。",,
market.group.name.Hyperfuel,ハイパーフューエル,,
obj.materials.fusioncell,フュージョンセル,,
obj.materials.fusioncell.desc,"フェージウムから製造される小型のパワーユニットだ。放出するエネルギーをハイパージャンプの燃料として利用する。",,
noun.hyperdrive,ハイパードライブ,,
hyperspace.missing.engine,ハイパースペース用のエンジンが無効です。,,
hyperspace.not.charged,ハイパースペース用のエンジンがチャージされていません。,,
noun.hyperjump.charge,ハイパージャンプのチャージ,,Label for hyperdrive engine readiness percentage
hyperjumps.available,ジャンプ可能数,,Label for the number of available hyperjumps
quest.step.use.hyperjump.relay,ハイパージャンプリレーを使用,,
quest.step.use.hyperjump.relay.tip,"星系マップの<b>{0}</b>をクリックし、<b>{1}</b>を選択してください。",,{0} is Hyperjump Relay name {1} is the menu option name you have to select to use it
space.object.HyperjumpRelay,ハイパージャンプリレー,,
space.object.info.HyperjumpRelay,"巨大な宇宙構造物だ。強力なエネルギー・フィールドを発生させ、エンジン出力が不足している船でも長距離のハイパージャンプをできるようにしてくれる。",,
,,,
quest.ProvideRepairStation,リペアステーションの用意,,
quest.ProvideRepairStation.desc,損傷した作業ユニットは<b>リペアステーション</b>で修理することができます。ひとつは用意しておいた方が賢明でしょう。,,
quest.StartAnExpedition,探査を開始,,
quest.StartAnExpedition.desc,近くに何らかの資源の鉱床があるようです。Use a <b>Shuttle</b> to launch an <b>Expedition</b>.,,
quest.PerformHyperjump,ハイパージャンプの実施,,
quest.PerformHyperjump.desc,このセクターにずっといるわけにはいきません。現在の宇域を探索するために、短距離の<b>ハイパージャンプ</b>を実施しましょう。,,
quest.PerformHyperjump.fusiondrive.tip,短距離<b>ハイパージャンプ</b>を実施するには、燃料として<b>フュージョンセル</b>が装填された<b>核融合エンジン</b>が必要です。,,
quest.TradeWithSpaceStation,ステーションとの取引,,
quest.TradeWithSpaceStation.desc,必要な物資や資源を手に入れるには取引は欠かせません。<b>ステーション</b>を見つけて取引を行いましょう。,,
quest.VisitAnotherRegion,新たな宙域へ,,
quest.VisitAnotherRegion.desc,さあ今こそ、新たな宙域の探索の乗り出すときです。<b>ハイパージャンプリレー</b>を発見したら、長距離<b>ハイパージャンプ</b>を行いましょう。,,
quest.step.execute.trade.tip,"<b>星間マップ</b>を開いて<b>ステーション</b>をクリックし、<b>取引</b>の項目を選択して物資をいくつか取引してみましょう。",,
obj.materials.aerolith,エアロリス,,
obj.materials.terranite,テラナイト,,
obj.materials.edenium,エデニウム,,
obj.materials.hydronium,ハイドロニウム,,
obj.materials.aerolith.desc,希少な鉱物だ。呼吸可能な空気を触媒反応によるガスの生成で生成する。,,
obj.materials.terranite.desc,希少な琥珀色の結晶だ。地質学的な力を操作して、その周囲の地形を変えることができる。,,
obj.materials.edenium.desc,"希少なキラキラした結晶だ。土壌に施すと濃縮された栄養成分を放出し、植物を劇的に加速させる。",,
obj.materials.hydronium.desc,"希少な鉱物だ。酸素を水へと反応させる触媒として作用する。大気中の酸素を利用してH₂Oの合成を促進させる。",,
scenario.NoRobots,ロボットなし,,
scenario.NoRobots.tooltip,人間のクルーだけで機能している小さな船でゲームを開始します。熟練者向けで、難易度も高めです。,,
objects.devices.storage,収納庫 ({0}),2024-09-18,
space.effect.star,警告：恒星に接近中,,
space.effect.star.desc,"<b>恒星</b>に接近中。ソーラーパネル出力が<b>{0}</b>増加しますが、船体温度が上昇中(毎時 約<b>{1}</b>)。",,{0} is percentage; {1} is degrees celsius or farenheit
obj.plants.artilleryfungus,バリスタケ,,
obj.plants.artilleryfungus.desc,"胞子を発射する生物だ。周囲にに粘着性の胞子を速射し、時間とともに広範囲を制圧する生物兵器のような働きをします。",,
space.effect.alien.lifeform,警告: 生命体を検知,,
space.effect.alien.lifeform.desc,このセクターでセンサーがエイリアンと思われる生命体の兆候を検出。警戒してください。,,
,,,
research.economy.onlineshop,オンライン取引,,
online.shop.unlocked,<b>{0}</b>が利用可能になりました。追加料金を払うことで船にアイテムを届けてもらうことができます。,,{0} is Online Shop
adj.available,有効,,
create.shop.order,注文する,,
capsule.delivery,カプセル配送,,
capsule.delivery.tip,商品の船への到着まで<b>{0}</b>。,,{0} is Storage Capsule translation
exit.hyperspace.first,ハイパージャンプ中にはできない操作です。実行するにはハイパースペースから離脱してください。,,
shop.orders.pending.delivery,配送中断中,,
shop.orders.delivered,配送済み,,plural
shop.orders.delivery.failed,配送失敗,,
shop.order.wrong.location.tip,アイテムの配送先で指定されている領域を離れました。戻らない場合、受け取りに失敗します！,,
shop.order.wrong.location,配送場所があっていない！,,
shop.order.delivered,配送済み,,singular
shop.order.lost,行方不明,,
shop.order.estimated.delivery,配送到着まで: {0},,{0} is time
noun.price,価格,,
difficult.start.region.warning,警告！ 目標宙域は危険な上、ゲーム序盤で必要となる資源が手に入らない可能性があります。ここからスタートしてもよろしいですか？,,
quest.ProvideEntertainment,娯楽の提供,,
