Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
<Gamepad>,게임패드,,Used in input settings when showing bindings for Gamepad (controller)
<Keyboard>,키보드,,Used in input settings when showing bindings for Keyboard
<Mouse>,마우스,,Used in input settings when showing bindings for Mouse
abort,중단,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,탐사을 중단합니다. {0} 승무원이 셔틀에 탑승하기 전에 사망했습니다.,,{0} will be replaced with a name
aborting.expedition.target.too.far,탐사을 중단합니다. {0} 목표에서 너무 떨어져 있습니다.,,{0} will be replaced with a destination name (i.e. planet name)
about,About,,"""About"" menu item name"
about.mods,모드 정보,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,자금 획득 방법,,
about.wallet.desc,함선 컴퓨터나 호환되는 채굴 장치에 채굴 업그레이드를 설치하여 채광후 획득한 화폐를 채굴할수있습니다. 상품을 거래하여 돈을 벌 수도 있습니다.,2022-03-19,
accumulated.heat,누적 열,,A device can start overheating. This is a label for a value of the heat amount the device has accumulated.
achievement.AsimovOverride,로그 AI,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,아시모프 오버라이드 모듈 설치,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,강습,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,강습 갭슐로 침입자에게 승선,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,폭주 드라이브,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,클리닝 봇에게 고냥이를 태우세요,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,난 내가 누군지 알고있다,,
achievement.CloneHuman.desc,인간 복제,,
achievement.Colonize,엔딩,,
achievement.Colonize.desc,거주 가능한 행성에 인간 콜로니를 정착시키세요,,
achievement.CPUDestroyed,I'll Be Back,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,함선 컴퓨터 상실,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,프리 허그,,
achievement.CrawlerAttach.desc,인간 개척자에게 부착된 클로러 얻기,,
achievement.CrawlerUber,크롤러 택시,,
achievement.CrawlerUber.desc,광산 탐사에서 돌아오는 길에 크롤러를 픽업하세요.,,
achievement.Crypto,크립토 브로,,
achievement.Crypto.desc,함선 컴퓨터에 채굴 업그레이드 설치,,
achievement.date,달성 날짜: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,이전에 없던 것들,,
achievement.DiscoverEgg.desc,함선에서 알을 발견,,
achievement.DiscoverTerraformable,발견,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,거주 가능한 행성을 발견,,
achievement.Elysium,엘리시움,,
achievement.Elysium.desc,극저온 동면 시스템을 엘리시움 교체,,
achievement.FirstContact,첫 접촉,,
achievement.FirstContact.desc,다른 세력을 만나기,,
achievement.FirstCup,모닝 커피,,
achievement.FirstCup.desc,함께 커피를 마실 사람을 찾습니다,,
achievement.HatchCrawlers,출산 같은게 아니야,,
achievement.HatchCrawlers.desc,개척자 몸에서 크롤러가 부화,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"100,000 스타크레드 획득",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"1,000,000 스타크레드 획득",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"10,000,000 스타크레드 획득",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"100,000,000 스타크레드 획득",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"1,000,000,000 스타크레드 획득",,
achievement.OnePiece,하나의 보물,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,난파선 섹션을 다시 한 조각으로 연결,,
achievement.StasisDestroyed,잃어버린 희망,,
achievement.StasisDestroyed.desc,극저온 동면 시스템 파괴됨,,
achievement.StockMarketLoss,우리 중 한명,,
achievement.StockMarketLoss.desc,"주식 시장에서 $100,000 손실에 주식 매도",,
achievement.TerraformAtmosphere,대기 테라포밍,,
achievement.TerraformAtmosphere.desc,행성에 대기 만들기,,
achievement.TerraformBiosphere,생태계 태라포밍,,
achievement.TerraformBiosphere.desc,행성에 생물권 만들기,,
achievement.TerraformOceans,해양 테라포밍,,
achievement.TerraformOceans.desc,행성에 바다와 강 만들기,,
achievement.TerraformTerrain,지형 테라포밍,,
achievement.TerraformTerrain.desc,행성에 지형과 대륙 만들기,,
achievement.unlocked,잠금 해제된 업적: {0},,
achievement.VoidRipper,보이드 리퍼,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,블랙홀 통과,,
achievement.WeaponizedCleaningBot,터미네이터,,
achievement.WeaponizedCleaningBot.desc,청소 봇 무장화,,
achievement.Winch,윈치,,
achievement.Winch.desc,함선의 두 부분을 서로 끌어당기다,,
achievements,업적,,
achievements.disabled,업적 비활성화됨,,
achievements.stat,업적 [{0}/{1}],,
act.AnimalEat,식사 중,,
act.BotDock,도크,,
act.BreakdownDeconstruct,물건을 파괴,,
act.BreakdownInsanity,정신 붕괴,,
act.BreakdownRoamAround,배회 중,,
act.BreakdownSpaceDiarrhea,우주 설사 중,,
act.BringResourcesAndConstruct,건설 중,,
act.CatchTarget,추적 중,,
act.Clean,청소 중,,
act.CleanDevice,디바이스 청소 중,,
act.CleanFloors,바닥 청소 중,,
act.CleanSolarPanel,태양 패널 청소 중,,
act.Construct,건설 중,,
act.CrawlerAttached,생물을 뿌리치는 중,,
act.Deconstruct,해체 중,,
act.Disassemble,분해 중,,
act.Drink,음료 마시는 중,,
act.Eat,식사 중,,
act.EnterShuttle,셔틀 탑승 중,,
act.FindBodyClothing,장비 착용 중,,
act.FindHeadgear,헤드 기어 찾기 중,,
act.FindHumanPrey,먹이 찾는 중,,
act.FindInstallableObject,설치 가능한 오브젝트 검색 중,,
act.Firefight,불끄는 중,,
act.GatherRawMaterials,재료 수집 중,,
act.GatherUnstoredRawMaterials,재료 더미 수집 중,,
act.HarvestPlant,작물 수확 중,,
act.HaulRawMaterials,재료 운반 중,,
act.HaulToNutrientExtractor,영양소 추출기로 운반 중,,
act.HaulUnstoredItem,아이템 창고로 운반 중,,
act.Heal,치료 받고 있는 중,,
act.Install,오브젝트 설치 중,,
act.InstallUpgrade,업그레이드 설치 중,,
act.MLTrain,기계 학습 진행 중,,
act.MoveNextToObject,타켓으로 이동 중,,
act.MoveNextToPos,위치로 이동 중,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,오브젝트 이동,,
act.MoveToOrNextToPos,위치로 이동 중,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,위치로 이동 중,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,안전구역으로 이동 중,,
act.MoveToWorkSpot,작업 구역으로 이동 중,,
act.None,아무것도 하는 않는 중,,
act.Noop,대기 중,,
act.OperateDevice,장치 작동 중,,
act.Panic,공황상태,,
act.Pet,애완 동물 쓰다듬는 중,,
act.PlaceUnconstructed,건설 작업 중,,
act.Process,처리 중,,
act.ProcessStoredMat,저장된 재료 가공 중,,
act.ProvideTempGrid,임시 연결 제공 중,,
act.Recharge,충전 중,,
act.RefillPetBowl,애완 동물 사료 주는 중,,
act.Relocate,오브젝트 재배치 중,,
act.Repair,손상 복구 중,,
act.ReplaceTile,오브젝트 교체 중,,
act.RescueInSpace,우주에 고립된 존재 구조 중,,
act.researching,연구 중,,
act.Ride,탑승 중,,
act.Roam,배회 중,,
act.Sleep,수면,,
act.Socialize,대화 중,,
act.StartFire,화재 발생,,
act.StoreItem,아이템 저장 중,,
act.StoreMat,재료 창고로 운반 중,,
act.StoreRawMaterials,재료 회수 중,,
act.Uninstall,오브젝트 제거 중,,
act.UseFoodConsumptionSpot,식사 중,,
act.UseShower,샤워 중,,
act.UseToilet,화장실 사용 중,,
act.Vent,환기 중,,"Verb, when someone is expressing anger, etc"
act.Wait,대기 중,,
act.WaitForMaintenance,유지보수 중,,
act.WaitForRecharge,충전 대기 중,,
act.Workout,운동 중,,
action.extract_nutrients,영양소 추출,,
action.process,가공,,
action.required,조치 필요,,
action.store,창고로 운반,,
action.store.item,아이템 창고로 운반,,
action.unavailable,사용할 수 없는 작업,,
actions.available,사용 가능한 작업: {0},,
activate,활성화,,
activate.siren,사이렌 활성화,,
active,활성,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,실행중인 명령,,
active.orders.info,"실행 중인 명령는 도구를 직접 명령됩니다. 함선 컴퓨터의 메모리 용량에 따라 상한이 있습니다. 함선의 컴퓨터가 처리할 수 있는 것보다 더 많은 지시한 경우, 새로운 명령을 내리기 전에 유효한 명령이 줄어들때까지 대기해야됩니다.",,
ad.rej.cancelled,작업 취소됨,,
ad.rej.construction.site.obstructed,건설 방해됨,,
ad.rej.could.not.reserve,아이템 예약 불가능,,
ad.rej.dock.not.available,도크 사용 불가능,,
ad.rej.emergency.siren,긴급 경보에 주의가 산만함,,
ad.rej.interrupted,중단됨,,
ad.rej.lacking.bed,침대를 찾을수 없음,,
ad.rej.lacking.body.clothing,바디 웨어를 찾을수 없음,,
ad.rej.lacking.drink,음료가 제공 되지 않음,,
ad.rej.lacking.edible,음식이 제공 되지 않음,,
ad.rej.lacking.healer,치유 장치 부족,,
ad.rej.lacking.mat,재료 부족,,
ad.rej.lacking.shower,샤워기 부족,,
ad.rej.lacking.skill,작업 유닛 스킬이 부족,,
ad.rej.lacking.toilet,화장실 부족,,
ad.rej.lacking.workout.equipment,운동기구 부족,,
ad.rej.nav.fail.flying,"비행 유닛이 목표로 가능 경로를 찾는데 실패했습니다. 문에 전력공급이나, 잠겨있지 않은지, 벽으로 밀폐 되어 있는지 확인하십시오.",,
ad.rej.nav.fail.grounded,"지상 유닛이 목표로 가능 경로를 찾는데 실패했습니다. 문에 전력공급이나, 잠겨있지 않은지, 벽으로 밀폐 되어 있는지 확인하십시오.",,
ad.rej.no.flying.worker,이 작업에는 비행이 필요하지만 비행 능력을 가진 작업 유닛이 없습니다.,,
ad.rej.no.nutrient.extractor,영양소 추출기를 사용할 수 없음,,
ad.rej.no.priority,이 유형의 작업에 대한 작업 유닛의 우선 순위는 0입니다.,,
ad.rej.no.processor,가공할 수 있는 곳이 없음,,
ad.rej.no.storage,창고를 사용할 수 없음,,
ad.rej.no.worker.can.level.up.enough,현재 작업 유닛 중 누구도 이 작업을 실행하기 위한 스킬 요구 사항을 통과할 만큼 높은 스킬 수준에 도달할 수 없습니다.,,
ad.rej.no.worker.with.skill,작업 유닛 중 누구도 이 작업을 실행하기에 충분한 스킬을 가지고 있지 않습니다. 이러한 유형의 더 쉬운 작업을 수행하거나 ML 스테이션에서 교육하면 레벨을 높일 수 있습니다.,,
ad.rej.no.workers,할당 가능한 작업 유닛 없음,,
ad.rej.processable.not.available,처리 가능한 아이템이 없음,,
ad.rej.processor.queue.full,가공 대기열이 가득참,,
ad.rej.taking.damage,작업 유닛이 손상을 입어 작업을 포기함,,
ad.rej.target.unavailable,대상을 사용할 수 없음,,
ad.rej.undefined,정의되지 않음 (버그),,
ad.rej.unreachable,도달할 수 없는 위치,,
ad.rej.unreachable.item,작업 유닛이 아이템에 접근 불가능,,
ad.rej.unreachable.mat.flying,비행 작업 유닛이 필요한 재료에 접근 불가능합니다. 재료까지 경로가 차단 되었는지 확인이 필요합니다.,,
ad.rej.unreachable.mat.grounded,지상 작업 유닛이 필요한 재료에 접근 불가능합니다. 재료까지 경로가 차단 되었는지 확인이 필요합니다.,,
ad.rej.unsafe,안전하지 않은 조건,,
ad.rej.unsafe.for.skilled,"이 작업이 가능한 작업 유닛은 주변이 안전해야됩니다. 대부분의 경우, 건설할 수 있는건 인간뿐입니다.",,
ad.rej.urgent.need,작업 유닛 긴급한 수요,,
ad.rej.worker.offline,작업 유닛 오프라인 됨,,
add,추가,,
add.log.entry,행해일지에 기록,,
add.to.queue,연구 목록에 추가,,
adj.rej.unreachable,목표 도달 불가능,,
advanced,고성능,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,{0} 취소,,
advert.priority,작업 우선 순위: {0},,
advert.priority.down,우선 순위 낮추기,,
advert.priority.up,우선 순위 높이기,,
advert.reject.info,작업 거부 <i>[{0}]</i>: {1} - {2},,
advert.rejected,거부됨,,
advert.retry,작업 재시도,,
advert.task,<i>[{0}]</i> 작업: {1},,
aesthetics,미관,,
