Key,Translation,Version,Comment (context for translators),,,,,,,,,,,,,,,,,,,,,,,
<Gamepad>,Kontroler,,Used in input settings when showing bindings for Gamepad (controller) ,,,,,,,,,,,,,,,,,,,,,,,
<Keyboard>,Klawiatura,,Used in input settings when showing bindings for Keyboard ,,,,,,,,,,,,,,,,,,,,,,,
a,Myszka,,Used in input settings when showing bindings for Mouse,,,,,,,,,,,,,,,,,,,,,,,
abort,Przerwij,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun.",,,,,,,,,,,,,,,,,,,,,,,
aborting.expedition.died,Przerywanie ekspedycji. Cz?onek za?ogi {0} zgin?? zanim dotar? do transportera.,,{0} will be replaced with a name,,,,,,,,,,,,,,,,,,,,,,,
aborting.expedition.target.too.far,Przerywanie ekspedycji. Jeste?my za daleko od {0}.,,{0} will be replaced with a destination name (i.e. planet name),,,,,,,,,,,,,,,,,,,,,,,
about,Wi?cej o,,"""About"" menu item name. Also could be used as a button label.",,,,,,,,,,,,,,,,,,,,,,,
about.mods,O dodatkach,,"""Mods"" in this context is game modifications, or expansions. ",,,,,,,,,,,,,,,,,,,,,,,
about.wallet,Jak zdoby? pieni?dze,,,,,,,,,,,,,,,,,,,,,,,,,
about.wallet.desc,Kryptowaluty mog? by? wykopane po zainstalowaniu ulepsze? kryptokopania na twoim Komputerze Pok?adowym albo na innym kompatybilnym urz?dzeniu kryptokopania. Mo?esz te? zdoby? pieni?dze na gie?dzie lub handluj?c towarem.,2022-03-19,,,,,,,,,,,,,,,,,,,,,,,,
achievement.AsimovOverride,Bunt SI,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie.",,,,,,,,,,,,,,,,,,,,,,,
achievement.AsimovOverride.desc,Zainstaluj modu? Nadpis Asimova,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics""",,,,,,,,,,,,,,,,,,,,,,,
achievement.Breached,W?amanie,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence).",,,,,,,,,,,,,,,,,,,,,,,
achievement.Breached.desc,Zosta? zaatakowany Kapsu?? do Aborda?u przez piratów,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you.",,,,,,,,,,,,,,,,,,,,,,,
achievement.CatRidingCleaningBot,Jazda bez trzymanki,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle.""",,,,,,,,,,,,,,,,,,,,,,,
achievement.CatRidingCleaningBot.desc,Niech kot przejedzie si? na robocie sprz?tajcym,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0",,,,,,,,,,,,,,,,,,,,,,,
achievement.CloneHuman,Wiem kim jestem,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.CloneHuman.desc,Sklonuj cz?owieka,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Colonize,Koniec…,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Colonize.desc,Osad? koloni? na dogodnej planecie,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.CPUDestroyed,Wróc? tu...,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM",,,,,,,,,,,,,,,,,,,,,,,
achievement.CPUDestroyed.desc,Stra? Komputer Pok?adowy,,"""lose"" here means getting your ship computer destroyed",,,,,,,,,,,,,,,,,,,,,,,
achievement.CrawlerAttach,Darmowy przytulasek,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.CrawlerAttach.desc,Niech Pe?zak przyczepi si? do ludzkiego kolonisty,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.CrawlerUber,Taxi dla Pe?zaków,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.CrawlerUber.desc,Z?ap Pe?zaka wracaj?c z ekspedycji kopalnianej,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Crypto,Krypto Ziom,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Crypto.desc,Zainstaluj ulepszenie kryptokopania Starkredytów na swoim Komputerze Pok?adowym,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.date,Data zdobycia: {0},,"{0} is a date, like 2022-10-12",,,,,,,,,,,,,,,,,,,,,,,
achievement.DiscoverEgg,A tego tu nie by?o,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.DiscoverEgg.desc,Znajd? jajko na swoim statku,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.DiscoverTerraformable,Znalezione...,,this refers to finally discovering a terraformable planet after a long search,,,,,,,,,,,,,,,,,,,,,,,
achievement.DiscoverTerraformable.desc,Znajd? planet? do terraformacji,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Elysium,Elizjum,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Elysium.desc,Zamie? swoj? Komor? Zastoju w Elizjum,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.FirstContact,Pierwszy kontakt,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.FirstContact.desc,Poznaj inn? frakcj?,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.FirstCup,Smacznej kawusi,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.FirstCup.desc,Niech kto? napije si? kawy,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.HatchCrawlers,Nie o taki poród chodzi?o,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.HatchCrawlers.desc,Pozwól aby Pe?zak zal?g? w koloni?cie,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money5,$1x10^5,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money5.desc,"Zdob?d? 100,000 StarKredytów",,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money6,$1x10^6,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money6.desc,"Zdob?d? 1,000,000 StarKredytów",,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money7,$1x10^7,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money7.desc,"Zdob?d? 10,000,000 StarKredytów",,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money8,$1x10^8,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money8.desc,"Zdob?d? 100,000,000 StarKredytów",,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money9,$1x10^9,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Money9.desc,"Zdob?d? 1,000,000,000 StarKredytów",,,,,,,,,,,,,,,,,,,,,,,,,
achievement.OnePiece,W ca?o?ci,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter.",,,,,,,,,,,,,,,,,,,,,,,
achievement.OnePiece.desc,Po??cz sekcje zniszczonego statku w jedn? cz???,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.StasisDestroyed,Zero nadziei,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.StasisDestroyed.desc,Zniszczono twoj? Komor? Zastoju,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.StockMarketLoss,Jeden z nas,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.StockMarketLoss.desc,"Na gie?dzie, zalicz $100K straty na jednej sprzeda?y",,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformAtmosphere,Terraformacja atmosfery,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformAtmosphere.desc,Stwórz atmosfer? na obcej planecie,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformBiosphere,Terraformacja biosfery,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformBiosphere.desc,Stwórz biosfer? na obcej planecie,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformOceans,Terraformacja oceanów,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformOceans.desc,Stwórz oceany i rzeki na obcej planecie,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformTerrain,Terraformacja terenu,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.TerraformTerrain.desc,Stwórz kontynenty na obcej planecie,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.unlocked,Odblokowano Osi?gni?cie: {0},,,,,,,,,,,,,,,,,,,,,,,,,
achievement.VoidRipper,Rozpruwacz Pustki,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space""",,,,,,,,,,,,,,,,,,,,,,,
achievement.VoidRipper.desc,Przejd? przez czarn? dziur?,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.WeaponizedCleaningBot,Terminator,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.WeaponizedCleaningBot.desc,Uzbrój robota sprz?taj?cego,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Winch,Wci?garka,,,,,,,,,,,,,,,,,,,,,,,,,
achievement.Winch.desc,U?yj wci?garki by po??czy? ze sob? dwie cz??ci statku,,,,,,,,,,,,,,,,,,,,,,,,,
achievements,Osi?gni?cia,,,,,,,,,,,,,,,,,,,,,,,,,
achievements.disabled,Osi?gni?cia wy??czone,,,,,,,,,,,,,,,,,,,,,,,,,
achievements.stat,Osi?gni?cia [{0}/{1}],,,,,,,,,,,,,,,,,,,,,,,,,
act.AnimalEat,Je,,,,,,,,,,,,,,,,,,,,,,,,,
act.BotDock,Dokuje,,,,,,,,,,,,,,,,,,,,,,,,,
act.BreakdownDeconstruct,Co? psuje,,,,,,,,,,,,,,,,,,,,,,,,,
act.BreakdownStartFire,Podpala,,,,,,,,,,,,,,,,,,,,,,,,,
act.BreakdownInsanity,Szaleje,,,,,,,,,,,,,,,,,,,,,,,,,
act.BreakdownRoamAround,Pa??ta si?,,,,,,,,,,,,,,,,,,,,,,,,,
act.BreakdownSpaceDiarrhea,Cierpi na Kosmiczn? Biegunk?,,,,,,,,,,,,,,,,,,,,,,,,,
act.BringResourcesAndConstruct,Buduje,,,,,,,,,,,,,,,,,,,,,,,,,
act.CatchTarget,Goni kogo?,,,,,,,,,,,,,,,,,,,,,,,,,
act.Clean,Sprz?ta,,,,,,,,,,,,,,,,,,,,,,,,,
act.CleanDevice,Czy?ci urz?dzenie,,,,,,,,,,,,,,,,,,,,,,,,,
act.CleanFloors,Czy?ci pod?og?,,,,,,,,,,,,,,,,,,,,,,,,,
act.CleanSolarPanel,Czy?ci panel s?oneczny,,,,,,,,,,,,,,,,,,,,,,,,,
act.Construct,Buduje,,,,,,,,,,,,,,,,,,,,,,,,,
act.CrawlerAttached,Probuje oderwa? od siebie stworzenie,,,,,,,,,,,,,,,,,,,,,,,,,
act.Deconstruct,Dekonstruuje,,,,,,,,,,,,,,,,,,,,,,,,,
act.Disassemble,Rozk?ada na cz??ci,,,,,,,,,,,,,,,,,,,,,,,,,
act.Drink,Pije,,,,,,,,,,,,,,,,,,,,,,,,,
act.Eat,Je,,,,,,,,,,,,,,,,,,,,,,,,,
act.EnterShuttle,Wchodzi do promu kosmicznego,,,,,,,,,,,,,,,,,,,,,,,,,
act.FindBodyClothing,Zak?ada ubranie,,,,,,,,,,,,,,,,,,,,,,,,,
act.FindHeadgear,Szuka nakrycia g?owy,,,,,,,,,,,,,,,,,,,,,,,,,
act.FindHumanPrey,Szuka ofiary,,,,,,,,,,,,,,,,,,,,,,,,,
act.FindInstallableObject,Szuka objektu do instalacji,,,,,,,,,,,,,,,,,,,,,,,,,
act.Firefight,Gasi po?ar,,,,,,,,,,,,,,,,,,,,,,,,,
act.GatherRawMaterials,Zbiera materia?y,,,,,,,,,,,,,,,,,,,,,,,,,
act.GatherUnstoredRawMaterials,Zbiera stos materia?oów,,,,,,,,,,,,,,,,,,,,,,,,,
act.HarvestPlant,Zbiera plony,,,,,,,,,,,,,,,,,,,,,,,,,
act.HaulRawMaterials,Holuje materia?y,,,,,,,,,,,,,,,,,,,,,,,,,
act.HaulToNutrientExtractor,Holuje do Ekstraktora Sk?adników Od?ywczych,,,,,,,,,,,,,,,,,,,,,,,,,
act.HaulUnstoredItem,Holuje przedmiot do magazynu,,,,,,,,,,,,,,,,,,,,,,,,,
act.Heal,Uzyskuje pomoc medyczn?,,,,,,,,,,,,,,,,,,,,,,,,,
act.Install,Instaluje,,,,,,,,,,,,,,,,,,,,,,,,,
act.InstallUpgrade,Instaluje ulepszenie,,,,,,,,,,,,,,,,,,,,,,,,,
act.MLTrain,Uczy Maszyny,,,,,,,,,,,,,,,,,,,,,,,,,
act.MoveNextToObject,Idzie do celu,,,,,,,,,,,,,,,,,,,,,,,,,
act.MoveNextToPos,Idzie do miejsca,,"This is about the worker, as in ""worker is moving to position""",,,,,,,,,,,,,,,,,,,,,,,
act.MoveObj,Przenosi co?,,,,,,,,,,,,,,,,,,,,,,,,,
act.MoveToOrNextToPos,Idzie do miejsca,,"This is about the worker, as in ""worker is moving to position""",,,,,,,,,,,,,,,,,,,,,,,
act.MoveToPos,Idzie do miejsca,,"This is about the worker, as in ""worker is moving to position""",,,,,,,,,,,,,,,,,,,,,,,
act.MoveToSafety,Idzie w bezpieczne miejsce,,,,,,,,,,,,,,,,,,,,,,,,,
act.MoveToWorkSpot,Idzie do miejsca pracy,,,,,,,,,,,,,,,,,,,,,,,,,
act.None,Nic nie robi,,,,,,,,,,,,,,,,,,,,,,,,,
act.Noop,Nudzi si?,,,,,,,,,,,,,,,,,,,,,,,,,
act.OperateDevice,Operuje urz?dzenie,,,,,,,,,,,,,,,,,,,,,,,,,
act.Panic,Panikuje,,,,,,,,,,,,,,,,,,,,,,,,,
act.Pet,G?aszcze zwierzaka,,,,,,,,,,,,,,,,,,,,,,,,,
act.PlaceUnconstructed,Nadzoruje budow?,,,,,,,,,,,,,,,,,,,,,,,,,
act.Process,Procesuje,,,,,,,,,,,,,,,,,,,,,,,,,
act.ProcessStoredMat,Procesuje materia?,,,,,,,,,,,,,,,,,,,,,,,,,
act.ProvideTempGrid,Zapewnia tymczasowe po??czenie,,,,,,,,,,,,,,,,,,,,,,,,,
