Key,Translation,Version,Comment
randomize.starting.sector,Inicio aleatório,,label for button that select a random starting sector in the starmap
randomize.starting.sector.tip,Vai na sorte.,,
space.object.Sector,Setor,,
space.object.Region,Região,,
noun.map.view,Visualizar mapa,,label for buttons that can switch the map view mode
noun.hyperjump,Hiper salto,,label for hyperjump details
exit.hyperspace,Sair do Hiper Espaço,,
noun.hyperspace,Hiper Espaço,,
enter.hyperspace,Entrar no Hiper Salto,,
verb.hyperjump,Hiper salto,,action verb on a button that executes a hyperjump
unable.to.hyperjump,Hiper Salto indisponível.,,
hyperjump.tip.expedition,Termine as <b>Expedições</b> para prosseguir.,,
hyperjump.tip.copter,Temos <b>Cargo Coptéro</b> trabalhando.,,
noun.custom.location,Local escolhido,,
noun.current.destination,Destino atual,,
enter.region,Entrar Região,,
enter.sector,Entrar Setor,,
obj.materials.phasium,Cristal Phasium,,
obj.materials.phasium.desc,"Um raro, cristal semi metálico que emite um luz purpura, mesclando o físico com o energético.",,
market.group.name.Hyperfuel,Hiper Combustível,,
obj.materials.fusioncell,Célula de fusão,,
obj.materials.fusioncell.desc,"Criado do cristal Phasium, esse combustível é utilizado em Hiper Saltos.",,
noun.hyperdrive,Hiper Motor,,
hyperspace.missing.engine,Hiper Motor indisponível.,,
hyperspace.not.charged,Hiper Motor descarregado.,,
noun.hyperjump.charge,Carga de Hiper Salto,,Label for hyperdrive engine readiness percentage
hyperjumps.available,Hiper Saltos,,Label for the number of available hyperjumps
quest.step.use.hyperjump.relay,Usar Hiper Salto de estação,,
quest.step.use.hyperjump.relay.tip,"Selecione <b>{0}</b> no Mapa Estelar, então clique <b>{1}</b>.",,{0} is Hyperjump Relay name {1} is the menu option name you have to select to use it
space.object.HyperjumpRelay,Estação de Hiper Saltos,,
space.object.info.HyperjumpRelay,"Uma massiva estrutura espacial, com o proposito de ajudar Naves a realizar Hiper Saltos mesmo que não tenham potência necessária.",,
,,,
quest.ProvideRepairStation,Estabelecer Estação de Reparos,,
quest.ProvideRepairStation.desc,Sintéticos podem ser reparados na <b>Estação de Reparos</b>. Sempre tenha algumas disponíveis.,,
quest.StartAnExpedition,Iniciar Expedições,,
