Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
<Gamepad>,Gamepad,,Used in input settings when showing bindings for Gamepad (controller) 
<Keyboard>,Keyboard,,Used in input settings when showing bindings for Keyboard 
<Mouse>,Mouse,,Used in input settings when showing bindings for Mouse
abort,Abort,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,Aborting expedition. Crew member {0} died before entering the shuttle.,,{0} will be replaced with a name
aborting.expedition.target.too.far,Aborting expedition. We are too far away from our target {0}.,,{0} will be replaced with a destination name (i.e. planet name)
about,About,,"""About"" menu item name"
about.mods,About Mods,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,How to Get Money,,
about.wallet.desc,Currencies can be mined after installing mining upgrades on your Ship Computer or compatible mining devices. You can also obtain money by trading goods.,2022-03-19,
accumulated.heat,Accumulated Heat,,A device can start overheating. This is a label for a value of the heat amount the device has accumulated.
achievement.AsimovOverride,Rogue AI,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,Install Asimov Override Module,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,Breached,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,Get boarded by raiders with a Breach Capsule,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Joy Ride,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,Get a Cat to ride a Cleaning Bot,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,I Know Who I Am,,
achievement.CloneHuman.desc,Clone a Human,,
achievement.Colonize,The End,,
achievement.Colonize.desc,Settle your human colony on a habitable planet,,
achievement.CPUDestroyed,I'll Be Back,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,Lose your Ship Computer,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,Free Hugs,,
achievement.CrawlerAttach.desc,Get a Crawler attached to a human colonist,,
achievement.CrawlerUber,Crawler Taxi,,
achievement.CrawlerUber.desc,Pick up a Crawler on the way back from a mining expedition,,
achievement.Crypto,Crypto Bro,,
achievement.Crypto.desc,Install Starcreds mining upgrade in your Ship Computer,,
achievement.date,Achieved on: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,This Wasn't Here Before,,
achievement.DiscoverEgg.desc,Discover an Egg on your ship,,
achievement.DiscoverTerraformable,Found It,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,Discover a terraformable planet,,
achievement.Elysium,Elysium,,
achievement.Elysium.desc,Turn your Stasis Array into Elysium,,
achievement.FirstContact,First Contact,,
achievement.FirstContact.desc,Meet another faction,,
achievement.FirstCup,The Morning Cup,,
achievement.FirstCup.desc,Get someone to drink Coffee,,
achievement.HatchCrawlers,Not That Kind of Birth,,
achievement.HatchCrawlers.desc,Allow Crawlers to hatch inside a colonist,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"Acquire 100,000 Starcreds",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"Acquire 1,000,000 Starcreds",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Acquire 10,000,000 Starcreds",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Acquire 100,000,000 Starcreds",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"Acquire 1,000,000,000 Starcreds",,
achievement.OnePiece,One Piece,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,Connect the wrecked ship sections back into one piece,,
achievement.StasisDestroyed,No More Hope,,
achievement.StasisDestroyed.desc,Get your Stasis Array destroyed,,
achievement.StockMarketLoss,One of Us,,
achievement.StockMarketLoss.desc,Sell a stock at $100K loss in the Stock Market,,
achievement.TerraformAtmosphere,Terraform Atmosphere,,
achievement.TerraformAtmosphere.desc,Create an atmosphere on a planet,,
achievement.TerraformBiosphere,Terraform Biosphere,,
achievement.TerraformBiosphere.desc,Create a biosphere on a planet,,
achievement.TerraformOceans,Terraform Oceans,,
achievement.TerraformOceans.desc,Create oceans and rivers on a planet,,
achievement.TerraformTerrain,Terraform Terrain,,
achievement.TerraformTerrain.desc,Create terrain and continents on a planet,,
achievement.unlocked,Achievement Unlocked: {0},,
achievement.VoidRipper,Void Ripper,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,Go through a Black Hole,,
achievement.WeaponizedCleaningBot,The Terminator,,
achievement.WeaponizedCleaningBot.desc,Weaponize a Cleaning Bot,,
achievement.Winch,Winch,,
achievement.Winch.desc,Winch two ship sections together,,
achievements,Achievements,,
achievements.disabled,Achievements Disabled,,
achievements.stat,Achievements [{0}/{1}],,
act.AnimalEat,Eating,,
act.BotDock,Dock,,
act.BreakdownDeconstruct,Destroying things,,
act.BreakdownInsanity,Going insane,,
act.BreakdownRoamAround,Roam Around,,
act.BreakdownSpaceDiarrhea,Suffering from Space Diarrhea,,
act.BringResourcesAndConstruct,Constructing,,
act.CatchTarget,Chasing someone,,
act.Clean,Cleaning,,
act.CleanDevice,Cleaning a Device,,
act.CleanFloors,Cleaning Floor,,
act.CleanSolarPanel,Cleaning Solar Panel,,
act.Construct,Constructing,,
act.CrawlerAttached,Trying to detach the creature ,,
act.Deconstruct,Deconstructing,,
act.Disassemble,Disassembling,,
act.Drink,Drinking a beverage,,
act.Eat,Eating,,
act.EnterShuttle,Entering Shuttle,,
act.FindBodyClothing,Equipping clothing,,
act.FindHeadgear,Finding headgear,,
act.FindHumanPrey,Looking for prey,,
act.FindInstallableObject,Searching for installable object,,
act.Firefight,Firefighting,,
act.GatherRawMaterials,Gathering materials,,
act.GatherUnstoredRawMaterials,Gathering material piles,,
act.HarvestPlant,Harvesting plants,,
act.HaulRawMaterials,Hauling materials,,
act.HaulToNutrientExtractor,Hauling to Nutrient Extractor,,
act.HaulUnstoredItem,Hauling item to storage,,
act.Heal,Getting medical attention,,
act.Install,Installing object,,
act.InstallUpgrade,Installing an upgrade,,
act.MLTrain,Doing Machine Learning,,
act.MoveNextToObject,Moving to target,,
act.MoveNextToPos,Moving to position,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,Moving object,,
act.MoveToOrNextToPos,Moving to position,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,Moving to position,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,Moving to safety,,
act.MoveToWorkSpot,Going to work spot,,
act.None,Doing nothing,,
act.Noop,Idling,,
act.OperateDevice,Operating a device,,
act.Panic,Panicking,,
act.Pet,Petting a pet,,
act.PlaceUnconstructed,Ordering construction,,
act.Process,Processing,,
act.ProcessStoredMat,Processing stored material,,
act.ProvideTempGrid,Providing temporary connection,,
act.Recharge,Recharging,,
act.RefillPetBowl,Refilling Pet Bowl,,
act.Relocate,Relocating an object,,
act.Repair,Repairing damage,,
act.ReplaceTile,Replacing an object,,
act.RescueInSpace,Rescuing a being stuck in space,,
act.researching,Researching,,
act.Ride,Riding,,
act.Roam,Roaming,,
act.Sleep,Going to sleep,,
act.Socialize,Socializing,,
act.StartFire,Start Fire,,
act.StoreItem,Storing Item,,
act.StoreMat,Hauling materials to storage,,
act.StoreRawMaterials,Storing materials,,
act.Uninstall,Uninstalling object,,
act.UseFoodConsumptionSpot,Eating,,
act.UseShower,Showering,,
act.UseToilet,Using Toilet,,
act.Vent,Venting,,"Verb, when someone is expressing anger, etc"
act.Wait,Waiting,,
act.WaitForMaintenance,Receiving maintenance,,
act.WaitForRecharge,Recharging,,
act.Workout,Workout,,
action.extract_nutrients,Extract nutrients,,
action.process,Process,,
action.required,Action Required,,
action.store,Haul to Storage Unit,,
action.store.item,Haul to Item Storage,,
action.unavailable,Action Unavailable,,
actions.available,Available actions: {0},,
activate,Activate,,
activate.siren,Activate Siren,,
active,Active,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,Active Orders,,
active.orders.info,"Active orders are issued directly by you through the tools. There is a limit of active orders you can issue depending on the amount of Memory resources your Ship Computer has at any given time. If you issue more orders than your Ship Computer can handle, you will have to wait for the active order count to go down before issuing new orders.",,
ad.rej.cancelled,Task was cancelled,,
ad.rej.construction.site.obstructed,Construction site obstructed,,
ad.rej.could.not.reserve,Could not reserve the item,,
ad.rej.dock.not.available,Dock not available,,
ad.rej.emergency.siren,Worker was distracted by an Emergency Siren,,
ad.rej.interrupted,Interrupted,,
ad.rej.lacking.bed,Could not find a bed,,
ad.rej.lacking.body.clothing,Can't find body clothing,,
ad.rej.lacking.drink,Drink was not available,,
ad.rej.lacking.edible,Food is not available,,
ad.rej.lacking.healer,Lacking healing device,,
ad.rej.lacking.mat,Lacking materials,,
ad.rej.lacking.shower,Lacking a shower,,
ad.rej.lacking.skill,Worker lacked skill,,
ad.rej.lacking.toilet,Lacking a toilet,,
ad.rej.lacking.workout.equipment,Lacking workout equipment,,
ad.rej.nav.fail.flying,Flying being failed finding a path to target location. Check if doors are powered and not locked or if worker is not walled off.,,
ad.rej.nav.fail.grounded,Grounded being failed finding a path to target location. Check if doors are powered and not locked or if being is not walled off.,,
ad.rej.no.flying.worker,"This task requires flying, but there are no workers with flying ability.",,
ad.rej.no.nutrient.extractor,Nutrient Extractor not available,,
ad.rej.no.priority,Worker had 0 priority for this type of task.,,
ad.rej.no.processor,Processor not available,,
ad.rej.no.storage,Storage Unit not available,,
ad.rej.no.worker.can.level.up.enough,None of the current workers can reach a skill level high enough to pass the skill requirement to execute this task.,,
ad.rej.no.worker.with.skill,None of your workers have enough skill to execute this task. They can level up if they work on easier tasks of this type or if you train them in the ML Booth.,,
ad.rej.no.workers,No workers available,,
ad.rej.processable.not.available,No processable items,,
ad.rej.processor.queue.full,Processor queue was full,,
ad.rej.taking.damage,Abandoned because worker received damage,,
ad.rej.target.unavailable,Target not available,,
ad.rej.undefined,Undefined (Bug),,
ad.rej.unreachable,Unreachable location,,
ad.rej.unreachable.item,Worker could not reach the item,,
ad.rej.unreachable.mat.flying,Flying worker could not reach the required material. Check if worker has an unblocked path to the material.,,
ad.rej.unreachable.mat.grounded,Grounded worker could not reach the required material. Check if worker has an unblocked path to the material.,,
ad.rej.unsafe,Unsafe conditions,,
ad.rej.unsafe.for.skilled,Worker who is capable of performing this task does not have safe conditions around the work site. Most likely only a human can build this.,,
ad.rej.urgent.need,Worker had an urgent need,,
