Key,Translation,Version,Comment (context for translators)
abort,Перервати,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.target.too.far,"Перериваємо експедицію. Корабель занадто далеко від цілі, {0}.",,{0} will be replaced with a destination name (i.e. planet name)
about,Додатково,,"""About"" menu item name. Also could be used as a button label."
about.wallet,Де Взяти Гроші,,
about.wallet.desc,"Гроші можна майніти на Корабельному Комп'ютері, або на інших пристроях із можливістю майнінгу (після встановлення модулю Апгрейд Майнінга). А також гроші можна отримати через торговельні операції, як із реальними товарами, так і на Фондовому Ринку (після дослідження відповідних технологій)",2022-03-19,
achievement.AsimovOverride,Незаконний ШІ,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,Встановлено Модуль Злому Азімова,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,Вломилися!,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,Корабель взято на абордаж ,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Драйвова Поїздочка,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,Кіт Катається на Боті-Чиcтильнику,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,Впевнений що я - це саме я,,
achievement.CloneHuman.desc,Клоновано Людину,,
achievement.Colonize,Завершення Місії,,
achievement.Colonize.desc,Влаштовано колонію на придатній планеті,,
achievement.CPUDestroyed,Більше не глючитиме,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,Втрачено Корабельний Комп'ютер,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,Обіймашки!,,
achievement.CrawlerAttach.desc,Краулер захопив Колоніста-Людину,,
achievement.CrawlerUber,Підхопили По Дорозі,,
achievement.CrawlerUber.desc,Із експедиції привезено Краулера,,
achievement.Crypto,Crypto Bro,,
achievement.Crypto.desc,Встановлено апгрейд для майнінгу Старкредів,,
achievement.date,Досягнення розблоковано: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,А Це Щось Новеньке,,
achievement.DiscoverEgg.desc,На борту Корабля виявлено Яйце ,,
achievement.DiscoverTerraformable,Знайшли!,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,Відкрито планету придатну до тераформування,,
achievement.Elysium,Елізіум,,
achievement.Elysium.desc,Стазис-Масив перетворено на Елізіум,,
achievement.FirstContact,Перший Контакт,,
achievement.FirstContact.desc,Зустріч із іншою фракцією,,
achievement.FirstCup,Ранкова Філіжанка,,
achievement.FirstCup.desc,Хтось скуштував каву,,
achievement.HatchCrawlers,Дивіться хто народився!,,
achievement.HatchCrawlers.desc,Краулери розвинулися у тілі колоніста,,
achievement.Money5,Справи пішли!,,
achievement.Money5.desc,"Статки сягнули 100,000 Старкредів",,
